"","fieldname","standard","vetted","namespace","source","comment"
"372","REPRODUCTIVECONDITION","reproductiveCondition",1,"dwc","",""
"373","RIGHTSHOLDER","rightsHolder",1,"dcterms","",""
"374","RIO","waterBody",1,"dwc","",""
"375","RÍO","waterBody",1,"dwc","",""
"376","RIVER","waterBody",1,"dwc","",""
"377","SAMPLESIZEUNIT","sampleSizeUnit",1,"dwc","",""
"378","SAMPLESIZEVALUE","sampleSizeValue",1,"dwc","",""
"379","SAMPLINGEFFORT","samplingEffort",1,"dwc","",""
"380","SAMPLINGPROTOCOL","samplingProtocol",1,"dwc","",""
"381","SCIENTIFICNAME","scientificName",1,"dwc","",""
"382","SCIENTIFICNAMEAUTHORSHIP","scientificNameAuthorship",1,"dwc","",""
"383","SCIENTIFICNAMEID","scientificNameID",1,"dwc","",""
"384","SEX","sex",1,"dwc","",""
"385","SEXO","sex",1,"dwc","",""
"386","SPECIES","specificEpithet",1,"dwc","",""
"387","SPECIFICEPITHET","specificEpithet",1,"dwc","",""
"388","STARTDAYOFYEAR","startDayOfYear",1,"dwc","",""
"389","STATE","stateProvince",1,"dwc","",""
"390","STATE/PROVINCE","stateProvince",1,"dwc","",""
"391","STATEPROVINCE","stateProvince",1,"dwc","",""
"392","SUBESPECIE","infraspecificEpithet",1,"dwc","",""
"393","SUBFAMILY","",1,"","","Can be mapped into dwc:higherClassification with other fields."
"394","SUBGENUS","subgenus",1,"dwc","",""
"395","SUBSPECIES","infraspecificEpithet",1,"dwc","",""
"396","SUBSTRATUM","",1,"","FIMS",""
"397","TAXONCONCEPTID","taxonConceptID",1,"dwc","",""
"398","TAXONID","taxonID",1,"dwc","",""
"399","TAXONOMICSTATUS","taxonomicStatus",1,"dwc","",""
"400","TAXONRANK","taxonRank",1,"dwc","",""
"401","TAXONREMARKS","taxonRemarks",1,"dwc","",""
"402","TISSUESTORAGEID","",1,"","FIMS",""
"403","TYPE","type",1,"dcterms","",""
"404","TYPESTATUS","typeStatus",1,"dwc","",""
"405","VERBATIMCOORDINATES","verbatimCoordinates",1,"dwc","",""
"406","VERBATIMCOORDINATESYSTEM","verbatimCoordinateSystem",1,"dwc","",""
"407","VERBATIMDEPTH","verbatimDepth",1,"dwc","",""
